Описание,Герои
По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.,"['Мартин', 'Пастушок', 'Агата', 'Бендер', 'Глюкоза', 'Фредерик', 'Бенедикт']"
В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,"['Юлия', 'Альфред', 'Бенедикт', 'Соня', 'Фредерик']"
"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","['Соня', 'Мартин', 'Альфред', 'Синеглазый']"
В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,"['Синеглазый', 'Юлия', 'Бенедикт', 'Фредерик', 'Соня']"
"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","['Фредерик', 'Агата', 'Пастушок', 'Мартин', 'Юлия', 'Альфред', 'Глюкоза']"
В деревне монстры похитили путников. Нужно спасти их.,"['Глюкоза', 'Юлия', 'Пастушок', 'Бенедикт', 'Леопольд', 'Бендер', 'Альфред']"
В лесу по дороге от пещеры заметили разбойников. Нужно прогнать их.,"['Альфред', 'Синеглазый', 'Пастушок', 'Леопольд', 'Юлия', 'Фредерик', 'Глюкоза', 'Бенедикт']"
В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,"['Синеглазый', 'Юлия', 'Бенедикт', 'Фредерик', 'Соня']"
"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","['Бенедикт', 'Бендер', 'Синеглазый', 'Глюкоза', 'Леопольд', 'Юлия', 'Альфред']"
"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","['Альфред', 'Бенедикт', 'Синеглазый', 'Глюкоза', 'Агата', 'Бендер', 'Мартин', 'Фредерик']"
По дороге из деревни у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,"['Мартин', 'Пастушок', 'Леопольд', 'Агата', 'Бендер', 'Глюкоза', 'Фредерик', 'Бенедикт']"
В пещере появвилось огромное каменное чудовище. Нужно убить его.,"['Соня', 'Юлия', 'Фредерик']"
Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,"['Бендер', 'Альфред', 'Фредерик', 'Леопольд', 'Синеглазый', 'Пастушок', 'Глюкоза', 'Бенедикт']"
В лесу недалеко от города заметили зверей. Нужно убить их.,"['Фредерик', 'Мартин', 'Агата', 'Глюкоза', 'Юлия', 'Леопольд', 'Бенедикт']"
По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,"['Мартин', 'Пастушок', 'Агата', 'Бендер', 'Глюкоза', 'Фредерик', 'Бенедикт']"
Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,"['Бендер', 'Альфред', 'Фредерик', 'Синеглазый', 'Пастушок', 'Леопольд', 'Глюкоза', 'Бенедикт']"
В лесу около деревни звери нападают на людей. Нужно прогнать их.,"['Бенедикт', 'Альфред', 'Мартин', 'Леопольд', 'Пастушок', 'Соня']"
"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","['Пастушок', 'Леопольд', 'Синеглазый', 'Агата', 'Фредерик', 'Альфред', 'Бендер']"
"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","['Синеглазый', 'Глюкоза', 'Пастушок', 'Соня', 'Юлия', 'Бенедикт']"
